Year,Value
2010,1.4
2011,2.7
2012,3.8
2013,4.7
2014,5.9
2015,7.7
2016,9.7
2017,12.2
2018,14.6
2019,16.1
2020,17.0
2021,16.3
2022,14.8
2023,14.4
2024,13.4
