Year,Value,Units
2010,3.3,1 000 Tonnen
2011,2.9,1 000 Tonnen
2012,2.4,1 000 Tonnen
2013,3.0,1 000 Tonnen
2014,2.3,1 000 Tonnen
2015,2.4,1 000 Tonnen
2016,2.2,1 000 Tonnen
2017,2.4,1 000 Tonnen
2018,2.0,1 000 Tonnen
2019,2.9,1 000 Tonnen
2020,2.8,1 000 Tonnen
2021,2.5,1 000 Tonnen
2022,2.6,1 000 Tonnen
2023,3.9,1 000 Tonnen
2010,87.1,Kilogramm pro Kopf
2011,80.7,Kilogramm pro Kopf
2012,78.4,Kilogramm pro Kopf
2013,71.7,Kilogramm pro Kopf
2014,68.0,Kilogramm pro Kopf
2015,56.5,Kilogramm pro Kopf
2016,48.0,Kilogramm pro Kopf
2017,50.6,Kilogramm pro Kopf
2018,55.5,Kilogramm pro Kopf
2019,49.4,Kilogramm pro Kopf
2020,54.7,Kilogramm pro Kopf
2021,56.7,Kilogramm pro Kopf
2022,55.0,Kilogramm pro Kopf
2023,58.1,Kilogramm pro Kopf
