Year,Value,Units,Series
2010,52116.0,Millionen EUR,b) Umweltschutzausgaben
2011,54918.0,Millionen EUR,b) Umweltschutzausgaben
2012,57022.0,Millionen EUR,b) Umweltschutzausgaben
2013,58937.0,Millionen EUR,b) Umweltschutzausgaben
2014,63026.0,Millionen EUR,b) Umweltschutzausgaben
2015,64748.0,Millionen EUR,b) Umweltschutzausgaben
2016,67478.0,Millionen EUR,b) Umweltschutzausgaben
2017,70053.0,Millionen EUR,b) Umweltschutzausgaben
2018,74164.0,Millionen EUR,b) Umweltschutzausgaben
2019,77773.0,Millionen EUR,b) Umweltschutzausgaben
2021,80334.0,Millionen EUR,b) Umweltschutzausgaben
