Year,Value,Units
2010,1263.0,Millionen Tonnen
2011,1363.0,Millionen Tonnen
2012,1318.0,Millionen Tonnen
2013,1311.0,Millionen Tonnen
2014,1348.0,Millionen Tonnen
2015,1268.0,Millionen Tonnen
2016,1280.0,Millionen Tonnen
2017,1326.0,Millionen Tonnen
2018,1279.0,Millionen Tonnen
2010,15.7,Tonnen pro Kopf
2011,17.0,Tonnen pro Kopf
2012,16.4,Tonnen pro Kopf
2013,16.3,Tonnen pro Kopf
2014,17.0,Tonnen pro Kopf
2015,15.8,Tonnen pro Kopf
2016,15.8,Tonnen pro Kopf
2017,15.7,Tonnen pro Kopf
2018,,Tonnen pro Kopf
2010,100.0,Pro realem BIP (2010 = 100)
2011,103.9,Pro realem BIP (2010 = 100)
2012,100.0,Pro realem BIP (2010 = 100)
2013,99.0,Pro realem BIP (2010 = 100)
2014,101.4,Pro realem BIP (2010 = 100)
2015,93.9,Pro realem BIP (2010 = 100)
2016,92.7,Pro realem BIP (2010 = 100)
2017,89.9,Pro realem BIP (2010 = 100)
2018,,Pro realem BIP (2010 = 100)
