Year,Value,Series
2010,89.326,a) Index der Grünbedeckung in Gebirgen
2011,89.326,a) Index der Grünbedeckung in Gebirgen
2012,89.326,a) Index der Grünbedeckung in Gebirgen
2013,89.401,a) Index der Grünbedeckung in Gebirgen
2014,89.401,a) Index der Grünbedeckung in Gebirgen
2015,89.401,a) Index der Grünbedeckung in Gebirgen
2016,89.401,a) Index der Grünbedeckung in Gebirgen
2017,89.415,a) Index der Grünbedeckung in Gebirgen
2018,89.416,a) Index der Grünbedeckung in Gebirgen
2019,89.44,a) Index der Grünbedeckung in Gebirgen
2020,89.44,a) Index der Grünbedeckung in Gebirgen
2021,89.196,a) Index der Grünbedeckung in Gebirgen
2022,89.379,a) Index der Grünbedeckung in Gebirgen
2023,89.379,a) Index der Grünbedeckung in Gebirgen
2024,89.379,a) Index der Grünbedeckung in Gebirgen
2010,1888322.648,b) Anteil der degradierten Gebirgsfläche
2011,1888322.66,b) Anteil der degradierten Gebirgsfläche
2012,1888325.569,b) Anteil der degradierten Gebirgsfläche
2013,1889916.806,b) Anteil der degradierten Gebirgsfläche
2014,1889916.806,b) Anteil der degradierten Gebirgsfläche
2015,1889917.08,b) Anteil der degradierten Gebirgsfläche
2016,1889917.08,b) Anteil der degradierten Gebirgsfläche
2017,1890212.64,b) Anteil der degradierten Gebirgsfläche
2018,1890228.909,b) Anteil der degradierten Gebirgsfläche
2019,1890739.753,b) Anteil der degradierten Gebirgsfläche
2020,1890739.753,b) Anteil der degradierten Gebirgsfläche
2021,1885574.568,b) Anteil der degradierten Gebirgsfläche
2022,1889444.756,b) Anteil der degradierten Gebirgsfläche
2023,1889444.76,b) Anteil der degradierten Gebirgsfläche
2024,1889444.76,b) Anteil der degradierten Gebirgsfläche
