Year,Value,Series
2010,2.4,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2011,2.35,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2012,2.51,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2013,2.74,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2014,2.87,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2015,2.69,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2016,2.87,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2017,2.85,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2018,2.84,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2019,2.53,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2020,2.37,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2021,2.58,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2022,2.3,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2023,2.54,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2024,2.4,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2021,100.0,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes
2010,30.9,Genehmigte Ein- und Ausfuhren geschützter Arten
2011,31.2,Genehmigte Ein- und Ausfuhren geschützter Arten
2012,31.2,Genehmigte Ein- und Ausfuhren geschützter Arten
2013,31.3,Genehmigte Ein- und Ausfuhren geschützter Arten
2014,31.3,Genehmigte Ein- und Ausfuhren geschützter Arten
2015,31.4,Genehmigte Ein- und Ausfuhren geschützter Arten
2017,31.6,Genehmigte Ein- und Ausfuhren geschützter Arten
2018,31.7,Genehmigte Ein- und Ausfuhren geschützter Arten
2019,31.7,Genehmigte Ein- und Ausfuhren geschützter Arten
2020,31.8,Genehmigte Ein- und Ausfuhren geschützter Arten
2021,31.8,Genehmigte Ein- und Ausfuhren geschützter Arten
2022,31.9,Genehmigte Ein- und Ausfuhren geschützter Arten
2023,31.9,Genehmigte Ein- und Ausfuhren geschützter Arten
