Year,Value,Units,Series
2019,1197.0,Millionen Tonnen,Inländische Materialverwendung (DMC)
2020,1160.0,Millionen Tonnen,Inländische Materialverwendung (DMC)
2021,1191.0,Millionen Tonnen,Inländische Materialverwendung (DMC)
2010,15.4,Tonnen pro Kopf,Inländische Materialverwendung (DMC)
2019,14.4,Tonnen pro Kopf,Inländische Materialverwendung (DMC)
2020,14.0,Tonnen pro Kopf,Inländische Materialverwendung (DMC)
2021,14.3,Tonnen pro Kopf,Inländische Materialverwendung (DMC)
2010,107.7,2015 = 100,Inländische Materialverwendung pro realem BIP
2019,89.5,2015 = 100,Inländische Materialverwendung pro realem BIP
2020,90.1,2015 = 100,Inländische Materialverwendung pro realem BIP
2021,90.1,2015 = 100,Inländische Materialverwendung pro realem BIP
