Year,Value
2010,80.0
2011,81.0
2012,82.0
2013,84.0
2014,86.0
2015,88.0
2016,90.0
2017,90.0
2018,92.0
2019,93.0
2020,94.0
2022,92.0
2023,92.0
2024,94.0
2025,95.0
