Year,Value,Units
2010,49.03,Je 100 000 Einwohner/-innen
2011,49.32,Je 100 000 Einwohner/-innen
2012,49.51,Je 100 000 Einwohner/-innen
2013,49.94,Je 100 000 Einwohner/-innen
2014,50.13,Je 100 000 Einwohner/-innen
2015,50.34,Je 100 000 Einwohner/-innen
2016,51.13,Je 100 000 Einwohner/-innen
2017,51.14,Je 100 000 Einwohner/-innen
2018,51.74,Je 100 000 Einwohner/-innen
2019,52.48,Je 100 000 Einwohner/-innen
2020,53.5,Je 100 000 Einwohner/-innen
2021,53.5,Je 100 000 Einwohner/-innen
2022,53.5,Je 100 000 Einwohner/-innen
2023,53.5,Je 100 000 Einwohner/-innen
2024,56.4,Je 100 000 Einwohner/-innen
2010,1.0,Anzahl
2011,1.0,Anzahl
2012,1.0,Anzahl
2013,1.0,Anzahl
2014,1.0,Anzahl
2015,1.0,Anzahl
2016,1.0,Anzahl
2017,1.0,Anzahl
2018,1.0,Anzahl
2019,1.0,Anzahl
2020,1.0,Anzahl
2021,1.0,Anzahl
2022,1.0,Anzahl
2023,1.0,Anzahl
2024,1.0,Anzahl
