Year,Value,Units,Series
2010,19.6,Mikrogramm pro Kubikmeter,population weighted annual mean levels of pm10
2011,19.5,Mikrogramm pro Kubikmeter,population weighted annual mean levels of pm10
2012,17.0,Mikrogramm pro Kubikmeter,population weighted annual mean levels of pm10
2013,17.6,Mikrogramm pro Kubikmeter,population weighted annual mean levels of pm10
2014,17.1,Mikrogramm pro Kubikmeter,population weighted annual mean levels of pm10
2015,15.9,Mikrogramm pro Kubikmeter,population weighted annual mean levels of pm10
2016,15.4,Mikrogramm pro Kubikmeter,population weighted annual mean levels of pm10
2017,15.3,Mikrogramm pro Kubikmeter,population weighted annual mean levels of pm10
2018,,Mikrogramm pro Kubikmeter,population weighted annual mean levels of pm10
