Year,Value,Series
2022,286978.155,Gesamter Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS)
2010,10279.0,Bruttoanlageinvestitionen für Umweltschutz
2011,11415.0,Bruttoanlageinvestitionen für Umweltschutz
2012,11701.0,Bruttoanlageinvestitionen für Umweltschutz
2013,11331.0,Bruttoanlageinvestitionen für Umweltschutz
2015,12117.0,Bruttoanlageinvestitionen für Umweltschutz
2016,12824.0,Bruttoanlageinvestitionen für Umweltschutz
2017,13263.0,Bruttoanlageinvestitionen für Umweltschutz
2018,14747.0,Bruttoanlageinvestitionen für Umweltschutz
2019,15577.0,Bruttoanlageinvestitionen für Umweltschutz
2020,16070.0,Bruttoanlageinvestitionen für Umweltschutz
2021,14209.0,Bruttoanlageinvestitionen für Umweltschutz
