Year,Value,Series
2010,68.743,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2011,68.879,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2012,68.895,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2013,68.895,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2014,68.999,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2015,69.035,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2016,69.035,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2017,69.134,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2018,69.432,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2019,70.152,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2020,70.152,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2021,71.476,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2022,71.566,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2023,71.566,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2024,71.566,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS
2010,3999698.924,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2011,4007560.836,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2012,4008502.894,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2013,4008502.894,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2014,4014581.599,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2015,4016635.106,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2016,4016635.106,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2017,4022416.328,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2018,4039782.721,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2019,4081651.296,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2020,4081651.296,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2021,4158660.757,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2022,4163924.472,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2023,4163924.472,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
2024,4163924.47,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB
