Year,Value
2010,2573079.952
2011,2573084.987
2012,2573111.579
2013,2576762.745
2014,2576762.745
2015,2576778.718
2016,2576778.718
2017,2577709.038
2018,2577766.587
2019,2581616.907
2020,2581616.907
2021,2581616.907
2022,2581585.92
2023,2581585.92
2024,2581585.92
