Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,number,,,,18.8
2011,number,,,,24.6
2012,number,,,,27.5
2013,number,,,,29.0
2014,number,,,,34.8
2015,number,,,,40.6
2016,number,,,,37.7
2017,number,,,,39.1
2018,number,,,,39.1
2019,number,,,,36.2
2020,number,,,,34.8
2021,number,,,,33.3
2022,number,,,,31.9
2023,number,,,,37.7
2024,number,,,,37.7
2025,number,,,,34.8
2010,eur,,,,50.5
2011,eur,,,,50.2
2012,eur,,,,50.7
2013,eur,,,,51.1
2014,eur,,,,51.5
2015,eur,,,,51.9
2016,eur,,,,52.3
2017,eur,,,,52.6
2018,eur,,,,52.9
2019,eur,,,,53.3
2020,eur,,,,53.6
2021,eur,,,,54.0
2022,eur,,,,54.4
2023,eur,,,,51.7
2024,eur,…,,,
2025,eur,…,,,
