Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2016,Percentage,,,,Municipal solid waste regularly collected and treated,68.6
2018,Percentage,,,,Municipal solid waste regularly collected and treated,68.5
2020,Percentage,,,,Municipal solid waste regularly collected and treated,70.8
2016,"1,000 tonnes",,,,Municipal solid waste in total,95.7
2018,"1,000 tonnes",,,,Municipal solid waste in total,95.7
2020,"1,000 tonnes",,,,Municipal solid waste in total,96.6
