Year,Units,funding sector,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,"Millionen USD, konstante Preise (2024)",Forstsektor,Zusagen,,,,289.608
2021,"Millionen USD, konstante Preise (2024)",Forstsektor,Zusagen,,,,202.519
2022,"Millionen USD, konstante Preise (2024)",Forstsektor,Zusagen,,,,252.944
2023,"Millionen USD, konstante Preise (2024)",Forstsektor,Zusagen,,,,266.963
2024,"Millionen USD, konstante Preise (2024)",Forstsektor,Zusagen,,,,199.463
2010,"Millionen USD, konstante Preise (2024)",Biodiversität,Bruttoauszahlungen,,,,488.8
2011,"Millionen USD, konstante Preise (2024)",Biodiversität,Bruttoauszahlungen,,,,667.8
2012,"Millionen USD, konstante Preise (2024)",Biodiversität,Bruttoauszahlungen,,,,898.8
2013,"Millionen USD, konstante Preise (2024)",Biodiversität,Bruttoauszahlungen,,,,902.9
2014,"Millionen USD, konstante Preise (2024)",Biodiversität,Bruttoauszahlungen,,,,1009.7
2015,"Millionen USD, konstante Preise (2024)",Biodiversität,Bruttoauszahlungen,,,,970.9
2016,"Millionen USD, konstante Preise (2024)",Biodiversität,Bruttoauszahlungen,,,,1304.6
2017,"Millionen USD, konstante Preise (2024)",Biodiversität,Bruttoauszahlungen,,,,1817.1
2018,"Millionen USD, konstante Preise (2024)",Biodiversität,Bruttoauszahlungen,,,,1642.0
2019,"Millionen USD, konstante Preise (2024)",Biodiversität,Bruttoauszahlungen,,,,1918.4
2020,"Millionen USD, konstante Preise (2024)",Biodiversität,Bruttoauszahlungen,,,,2324.6
2021,"Millionen USD, konstante Preise (2024)",Biodiversität,Bruttoauszahlungen,,,,2668.6
2022,"Millionen USD, konstante Preise (2024)",Biodiversität,Bruttoauszahlungen,,,,3391.2
2023,"Millionen USD, konstante Preise (2024)",Biodiversität,Bruttoauszahlungen,,,,
2024,"Millionen USD, konstante Preise (2024)",Biodiversität,Bruttoauszahlungen,,,,
2010,"Millionen USD, konstante Preise (2024)",Forstsektor,Bruttoauszahlungen,,,,74.5
2011,"Millionen USD, konstante Preise (2024)",Forstsektor,Bruttoauszahlungen,,,,69.7
2012,"Millionen USD, konstante Preise (2024)",Forstsektor,Bruttoauszahlungen,,,,115.1
2013,"Millionen USD, konstante Preise (2024)",Forstsektor,Bruttoauszahlungen,,,,105.3
2014,"Millionen USD, konstante Preise (2024)",Forstsektor,Bruttoauszahlungen,,,,88.2
2015,"Millionen USD, konstante Preise (2024)",Forstsektor,Bruttoauszahlungen,,,,88.3
2016,"Millionen USD, konstante Preise (2024)",Forstsektor,Bruttoauszahlungen,,,,83.8
2017,"Millionen USD, konstante Preise (2024)",Forstsektor,Bruttoauszahlungen,,,,94.8
2018,"Millionen USD, konstante Preise (2024)",Forstsektor,Bruttoauszahlungen,,,,141.6
2019,"Millionen USD, konstante Preise (2024)",Forstsektor,Bruttoauszahlungen,,,,142.5
2020,"Millionen USD, konstante Preise (2024)",Forstsektor,Bruttoauszahlungen,,,,254.1
2021,"Millionen USD, konstante Preise (2024)",Forstsektor,Bruttoauszahlungen,,,,305.5
2022,"Millionen USD, konstante Preise (2024)",Forstsektor,Bruttoauszahlungen,,,,283.9
2023,"Millionen USD, konstante Preise (2024)",Forstsektor,Bruttoauszahlungen,,,,280.0
2024,"Millionen USD, konstante Preise (2024)",Forstsektor,Bruttoauszahlungen,,,,227.6
