Year,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2012,Female,,,,42.8
2017,Female,,,,38.8
2020,Female,|,,,13.1
2012,Male,,,,28.3
2017,Male,,,,27.3
2020,Male,|,,,37.2
