Year,Units,Art der Belästigung,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,7.1
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,|,,,7.1
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,8.2
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,7.3
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,7.5
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,7.5
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,7.3
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,6.7
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,6.3
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,6.3
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,6.2
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,6.5
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,6.5
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,6.9
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,7.7
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,8.4
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,|,,,8.3
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,7.2
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,6.5
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,6.1
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,5.6
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,5.3
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,4.5
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,4.6
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,3.8
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,4.4
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,4.1
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,4.1
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,4.7
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,4.8
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,5.4
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,|,,,5.6
2010,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,,.,,,
2011,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,,.,,,
2012,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,,,,,10.1
2013,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,,,,,10.1
2014,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,,,,,10.3
2015,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,,,,,10.2
2016,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,,,,,10.5
2017,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,,,,,10.1
2018,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,,,,,10.6
2019,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,,,,,9.7
2020,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,,,,,11.2
2021,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,,|,,,10.9
2022,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,,,,,11.6
2023,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,,,,,12.1
2024,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,,|,,,12.9
2010,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Weiblich,.,,,
2011,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Weiblich,.,,,
2012,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Weiblich,,,,17.8
2013,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Weiblich,,,,17.7
2014,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Weiblich,,,,17.9
2015,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Weiblich,,,,17.6
2016,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Weiblich,,,,18.1
2017,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Weiblich,,,,17.4
2018,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Weiblich,,,,18.2
2019,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Weiblich,,,,16.3
2020,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Weiblich,,,,18.9
2021,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Weiblich,|,,,18.2
2022,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Weiblich,,,,19.3
2023,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Weiblich,,,,19.7
2024,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Weiblich,|,,,20.9
2010,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Männlich,.,,,
2011,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Männlich,.,,,
2012,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Männlich,,,,2.3
2013,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Männlich,,,,2.3
2014,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Männlich,,,,2.5
2015,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Männlich,,,,2.4
2016,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Männlich,,,,2.7
2017,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Männlich,,,,2.6
2018,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Männlich,,,,2.9
2019,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Männlich,,,,2.9
2020,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Männlich,,,,3.3
2021,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Männlich,|,,,3.3
2022,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Männlich,,,,3.6
2023,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Männlich,,,,4.1
2024,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,,Männlich,|,,,4.7
2010,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,,.,,,
2011,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,,.,,,
2012,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,,‒,,,0.0
2013,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,,‒,,,0.0
2014,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,,‒,,,0.0
2015,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,,‒,,,0.0
2016,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,,‒,,,0.0
2017,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,,‒,,,0.0
2018,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,,‒,,,0.0
2019,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,,‒,,,0.0
2020,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,,‒,,,0.0
2021,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,,|,,,0.4
2022,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,,,,,1.3
2023,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,,,,,1.2
2024,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,,|,,,1.3
2010,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,.,,,
2011,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,.,,,
2012,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,‒,,,0.0
2013,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,‒,,,0.0
2014,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,‒,,,0.0
2015,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,‒,,,0.0
2016,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,‒,,,0.0
2017,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,‒,,,0.0
2018,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,‒,,,0.0
2019,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,‒,,,0.0
2020,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,‒,,,0.0
2021,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,|,,,0.6
2022,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,2.2
2023,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,2.0
2024,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Weiblich,|,,,1.7
2010,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Männlich,.,,,
2011,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Männlich,.,,,
2012,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Männlich,‒,,,0.0
2013,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Männlich,‒,,,0.0
2014,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Männlich,‒,,,0.0
2015,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Männlich,‒,,,0.0
2016,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Männlich,‒,,,0.0
2017,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Männlich,‒,,,0.0
2018,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Männlich,‒,,,0.0
2019,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Männlich,‒,,,0.0
2020,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Männlich,‒,,,0.0
2021,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Männlich,|,,,0.3
2022,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,0.5
2023,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Männlich,,,,0.4
2024,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,13 Jahre und jünger,Männlich,|,,,0.9
2010,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,,.,,,
2011,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,,.,,,
2012,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,42.3
2013,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,43.2
2014,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,42.5
2015,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,38.8
2016,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,35.8
2017,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,34.8
2018,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,35.6
2019,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,30.4
2020,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,35.2
2021,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,,|,,,35.7
2022,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,41.3
2023,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,,,,,38.9
2024,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,,|,,,44.1
2010,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,.,,,
2011,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,.,,,
2012,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,59.3
2013,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,79.2
2014,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,78.4
2015,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,73.8
2016,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,66.3
2017,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,62.7
2018,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,63.8
2019,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,54.8
2020,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,63.2
2021,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,|,,,64.3
2022,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,73.8
2023,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,68.0
2024,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,|,,,77.1
2010,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,.,,,
2011,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,.,,,
2012,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,6.2
2013,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,9.1
2014,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,8.5
2015,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,5.7
2016,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,7.5
2017,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,9.0
2018,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,9.4
2019,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,7.6
2020,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,8.9
2021,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,|,,,8.7
2022,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,10.8
2023,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,11.6
2024,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,|,,,13.4
2010,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,,.,,,
2011,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,,.,,,
2012,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,31.1
2013,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,30.5
2014,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,33.3
2015,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,32.4
2016,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,29.7
2017,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,35.2
2018,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,33.4
2019,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,28.0
2020,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,38.3
2021,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,,|,,,35.9
2022,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,38.5
2023,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,,,,,38.2
2024,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,,|,,,42.9
2010,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,.,,,
2011,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,.,,,
2012,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,59.4
2013,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,57.7
2014,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,63.9
2015,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,61.6
2016,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,56.7
2017,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,68.5
2018,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,62.9
2019,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,52.0
2020,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,72.5
2021,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,|,,,66.8
2022,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,71.3
2023,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,69.9
2024,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,|,,,77.5
2010,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,.,,,
2011,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,.,,,
2012,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,4.2
2013,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,4.6
2014,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,4.4
2015,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,4.9
2016,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,5.4
2017,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,5.2
2018,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,6.8
2019,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,6.3
2020,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,7.0
2021,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,|,,,7.4
2022,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,8.0
2023,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,8.6
2024,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,|,,,11.0
2010,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,,.,,,
2011,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,,.,,,
2012,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,12.3
2013,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,12.2
2014,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,12.6
2015,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,11.9
2016,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,13.5
2017,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,12.8
2018,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,13.8
2019,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,13.0
2020,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,15.0
2021,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,,|,,,14.6
2022,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,15.4
2023,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,,,,,16.3
2024,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,,|,,,17.4
2010,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,.,,,
2011,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,.,,,
2012,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,22.0
2013,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,21.7
2014,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,22.2
2015,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,20.9
2016,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,23.7
2017,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,22.4
2018,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,24.3
2019,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,22.1
2020,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,25.8
2021,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,|,,,24.8
2022,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,26.1
2023,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,27.3
2024,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,|,,,28.8
2010,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,.,,,
2011,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,.,,,
2012,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,2.8
2013,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,2.8
2014,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,3.2
2015,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,3.1
2016,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,3.6
2017,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,3.4
2018,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,3.7
2019,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,4.1
2020,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,4.5
2021,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,|,,,4.7
2022,Je 100 000 Einwohner/-innen,Sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,5.0
