Year,Zeitreihe,Tourismuswirtschaftsbereich,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Vermietung von Transportmitteln,…,,,
2019,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Vermietung von Transportmitteln,…,,,
2020,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Vermietung von Transportmitteln,,,,24773.0
2021,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Vermietung von Transportmitteln,,,,29873.0
2022,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Vermietung von Transportmitteln,,,,33751.0
2023,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Vermietung von Transportmitteln,,,,31106.0
2010,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2011,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2012,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2013,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2014,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2015,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2016,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2017,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2018,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2019,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Reisebüros und sonstige Reservierungsdienstleistungen,…,,,
2020,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Reisebüros und sonstige Reservierungsdienstleistungen,,,,59091.0
2021,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Reisebüros und sonstige Reservierungsdienstleistungen,,,,61658.0
2022,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Reisebüros und sonstige Reservierungsdienstleistungen,,,,66304.0
2023,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Reisebüros und sonstige Reservierungsdienstleistungen,,,,63200.0
2010,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Kulturelle Aktivitäten,…,,,
2011,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Kulturelle Aktivitäten,…,,,
2012,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Kulturelle Aktivitäten,…,,,
2013,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Kulturelle Aktivitäten,…,,,
2014,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Kulturelle Aktivitäten,…,,,
2015,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Kulturelle Aktivitäten,…,,,
2016,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Kulturelle Aktivitäten,…,,,
2017,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Kulturelle Aktivitäten,…,,,
2018,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Kulturelle Aktivitäten,…,,,
2019,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Kulturelle Aktivitäten,…,,,
2020,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Kulturelle Aktivitäten,…,,,
2021,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Kulturelle Aktivitäten,,,,40488.0
2022,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Kulturelle Aktivitäten,,,,41359.0
2023,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Kulturelle Aktivitäten,,,,43002.0
2010,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Sport und Freizeitaktivitäten,…,,,
2011,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Sport und Freizeitaktivitäten,…,,,
2012,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Sport und Freizeitaktivitäten,…,,,
2013,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Sport und Freizeitaktivitäten,…,,,
2014,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Sport und Freizeitaktivitäten,…,,,
2015,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Sport und Freizeitaktivitäten,…,,,
2016,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Sport und Freizeitaktivitäten,…,,,
2017,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Sport und Freizeitaktivitäten,…,,,
2018,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Sport und Freizeitaktivitäten,…,,,
2019,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Sport und Freizeitaktivitäten,…,,,
2020,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Sport und Freizeitaktivitäten,…,,,
2021,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Sport und Freizeitaktivitäten,,,,218932.0
2022,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Sport und Freizeitaktivitäten,,,,193459.0
2023,Arbeitsplätze für Beschäftigte (in Vollzeitäquivalenten),Sport und Freizeitaktivitäten,,,,182289.0
