Year,COMMENT_OBS,Value
2010,r,5.44
2011,,5.36
2012,r,5.25
2013,,5.38
2014,,5.59
2015,,7.15
2016,,7.22
2017,,6.74
2018,,6.63
2019,r,5.8
2020,r,5.03
2021,r,4.73
2022,,4.86
