Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,18.949
2011,,,,17.509
2012,,,,15.956
2013,,,,15.188
2014,,,,15.214
2015,,,,14.56
2016,,,,14.464
2017,,,,13.374
2018,,,,13.333
2019,,,,12.993
2020,,,,13.225
2021,,,,12.097
2022,,,,11.723
