Year,Art des Verfahrens,Bundesland,GeoCode,Branche,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2025,Strafverfahren,Sachsen-Anhalt,code15,Baugewerbe,,,,88
2024,Strafverfahren,Sachsen-Anhalt,code15,Gaststätten- und Beherbergungsgewerbe,,,,89
2025,Strafverfahren,Sachsen-Anhalt,code15,Gaststätten- und Beherbergungsgewerbe,,,,73
2024,Strafverfahren,Sachsen-Anhalt,code15,Frisör- und Kosmetikgewerbe,,,,9
2025,Strafverfahren,Sachsen-Anhalt,code15,Frisör- und Kosmetikgewerbe,,,,29
2024,Strafverfahren,Sachsen-Anhalt,code15,"Speditions-, Transport- und Logistikgewerbe",,,,34
2025,Strafverfahren,Sachsen-Anhalt,code15,"Speditions-, Transport- und Logistikgewerbe",,,,18
2024,Strafverfahren,Schleswig-Holstein,code01,,,,,3020
2025,Strafverfahren,Schleswig-Holstein,code01,,,,,2683
2024,Strafverfahren,Schleswig-Holstein,code01,Baugewerbe,,,,319
2025,Strafverfahren,Schleswig-Holstein,code01,Baugewerbe,,,,219
2024,Strafverfahren,Schleswig-Holstein,code01,Gaststätten- und Beherbergungsgewerbe,,,,454
2025,Strafverfahren,Schleswig-Holstein,code01,Gaststätten- und Beherbergungsgewerbe,,,,438
2024,Strafverfahren,Schleswig-Holstein,code01,Frisör- und Kosmetikgewerbe,,,,40
2025,Strafverfahren,Schleswig-Holstein,code01,Frisör- und Kosmetikgewerbe,,,,36
2024,Strafverfahren,Schleswig-Holstein,code01,"Speditions-, Transport- und Logistikgewerbe",,,,148
2025,Strafverfahren,Schleswig-Holstein,code01,"Speditions-, Transport- und Logistikgewerbe",,,,124
2024,Strafverfahren,Thüringen,code16,,,,,2754
2025,Strafverfahren,Thüringen,code16,,,,,3213
2024,Strafverfahren,Thüringen,code16,Baugewerbe,,,,253
2025,Strafverfahren,Thüringen,code16,Baugewerbe,,,,290
2024,Strafverfahren,Thüringen,code16,Gaststätten- und Beherbergungsgewerbe,,,,267
2025,Strafverfahren,Thüringen,code16,Gaststätten- und Beherbergungsgewerbe,,,,331
2024,Strafverfahren,Thüringen,code16,Frisör- und Kosmetikgewerbe,,,,34
2025,Strafverfahren,Thüringen,code16,Frisör- und Kosmetikgewerbe,,,,34
2024,Strafverfahren,Thüringen,code16,"Speditions-, Transport- und Logistikgewerbe",,,,100
2025,Strafverfahren,Thüringen,code16,"Speditions-, Transport- und Logistikgewerbe",,,,109
