Year,Art des Verfahrens,Bundesland,GeoCode,Branche,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2025,Ordnungswidrigkeitenverfahren,Niedersachsen,code03,Baugewerbe,,,,598
2024,Ordnungswidrigkeitenverfahren,Niedersachsen,code03,Gaststätten- und Beherbergungsgewerbe,,,,1130
2025,Ordnungswidrigkeitenverfahren,Niedersachsen,code03,Gaststätten- und Beherbergungsgewerbe,,,,1438
2024,Ordnungswidrigkeitenverfahren,Niedersachsen,code03,Frisör- und Kosmetikgewerbe,,,,79
2025,Ordnungswidrigkeitenverfahren,Niedersachsen,code03,Frisör- und Kosmetikgewerbe,,,,172
2024,Ordnungswidrigkeitenverfahren,Niedersachsen,code03,"Speditions-, Transport- und Logistikgewerbe",,,,208
2025,Ordnungswidrigkeitenverfahren,Niedersachsen,code03,"Speditions-, Transport- und Logistikgewerbe",,,,253
2024,Ordnungswidrigkeitenverfahren,Nordrhein-Westfalen,code05,,,,,10079
2025,Ordnungswidrigkeitenverfahren,Nordrhein-Westfalen,code05,,,,,11214
2024,Ordnungswidrigkeitenverfahren,Nordrhein-Westfalen,code05,Baugewerbe,,,,1402
2025,Ordnungswidrigkeitenverfahren,Nordrhein-Westfalen,code05,Baugewerbe,,,,1414
2024,Ordnungswidrigkeitenverfahren,Nordrhein-Westfalen,code05,Gaststätten- und Beherbergungsgewerbe,,,,2313
2025,Ordnungswidrigkeitenverfahren,Nordrhein-Westfalen,code05,Gaststätten- und Beherbergungsgewerbe,,,,2586
2024,Ordnungswidrigkeitenverfahren,Nordrhein-Westfalen,code05,Frisör- und Kosmetikgewerbe,,,,354
2025,Ordnungswidrigkeitenverfahren,Nordrhein-Westfalen,code05,Frisör- und Kosmetikgewerbe,,,,402
2024,Ordnungswidrigkeitenverfahren,Nordrhein-Westfalen,code05,"Speditions-, Transport- und Logistikgewerbe",,,,572
2025,Ordnungswidrigkeitenverfahren,Nordrhein-Westfalen,code05,"Speditions-, Transport- und Logistikgewerbe",,,,737
2024,Ordnungswidrigkeitenverfahren,Rheinland-Pfalz,code07,,,,,2230
2025,Ordnungswidrigkeitenverfahren,Rheinland-Pfalz,code07,,,,,2407
2024,Ordnungswidrigkeitenverfahren,Rheinland-Pfalz,code07,Baugewerbe,,,,379
2025,Ordnungswidrigkeitenverfahren,Rheinland-Pfalz,code07,Baugewerbe,,,,346
2024,Ordnungswidrigkeitenverfahren,Rheinland-Pfalz,code07,Gaststätten- und Beherbergungsgewerbe,,,,505
2025,Ordnungswidrigkeitenverfahren,Rheinland-Pfalz,code07,Gaststätten- und Beherbergungsgewerbe,,,,631
2024,Ordnungswidrigkeitenverfahren,Rheinland-Pfalz,code07,Frisör- und Kosmetikgewerbe,,,,46
2025,Ordnungswidrigkeitenverfahren,Rheinland-Pfalz,code07,Frisör- und Kosmetikgewerbe,,,,67
2024,Ordnungswidrigkeitenverfahren,Rheinland-Pfalz,code07,"Speditions-, Transport- und Logistikgewerbe",,,,91
2025,Ordnungswidrigkeitenverfahren,Rheinland-Pfalz,code07,"Speditions-, Transport- und Logistikgewerbe",,,,84
2024,Ordnungswidrigkeitenverfahren,Saarland,code10,,,,,1349
2025,Ordnungswidrigkeitenverfahren,Saarland,code10,,,,,1349
2024,Ordnungswidrigkeitenverfahren,Saarland,code10,Baugewerbe,,,,89
2025,Ordnungswidrigkeitenverfahren,Saarland,code10,Baugewerbe,,,,77
2024,Ordnungswidrigkeitenverfahren,Saarland,code10,Gaststätten- und Beherbergungsgewerbe,,,,249
2025,Ordnungswidrigkeitenverfahren,Saarland,code10,Gaststätten- und Beherbergungsgewerbe,,,,214
2024,Ordnungswidrigkeitenverfahren,Saarland,code10,Frisör- und Kosmetikgewerbe,,,,18
2025,Ordnungswidrigkeitenverfahren,Saarland,code10,Frisör- und Kosmetikgewerbe,,,,15
2024,Ordnungswidrigkeitenverfahren,Saarland,code10,"Speditions-, Transport- und Logistikgewerbe",,,,83
2025,Ordnungswidrigkeitenverfahren,Saarland,code10,"Speditions-, Transport- und Logistikgewerbe",,,,96
2024,Ordnungswidrigkeitenverfahren,Sachsen,code14,,,,,1525
2025,Ordnungswidrigkeitenverfahren,Sachsen,code14,,,,,1413
2024,Ordnungswidrigkeitenverfahren,Sachsen,code14,Baugewerbe,,,,334
2025,Ordnungswidrigkeitenverfahren,Sachsen,code14,Baugewerbe,,,,303
2024,Ordnungswidrigkeitenverfahren,Sachsen,code14,Gaststätten- und Beherbergungsgewerbe,,,,519
2025,Ordnungswidrigkeitenverfahren,Sachsen,code14,Gaststätten- und Beherbergungsgewerbe,,,,521
2024,Ordnungswidrigkeitenverfahren,Sachsen,code14,Frisör- und Kosmetikgewerbe,,,,31
2025,Ordnungswidrigkeitenverfahren,Sachsen,code14,Frisör- und Kosmetikgewerbe,,,,54
2024,Ordnungswidrigkeitenverfahren,Sachsen,code14,"Speditions-, Transport- und Logistikgewerbe",,,,65
2025,Ordnungswidrigkeitenverfahren,Sachsen,code14,"Speditions-, Transport- und Logistikgewerbe",,,,72
2024,Ordnungswidrigkeitenverfahren,Sachsen-Anhalt,code15,,,,,1194
2025,Ordnungswidrigkeitenverfahren,Sachsen-Anhalt,code15,,,,,1296
2024,Ordnungswidrigkeitenverfahren,Sachsen-Anhalt,code15,Baugewerbe,,,,202
2025,Ordnungswidrigkeitenverfahren,Sachsen-Anhalt,code15,Baugewerbe,,,,185
2024,Ordnungswidrigkeitenverfahren,Sachsen-Anhalt,code15,Gaststätten- und Beherbergungsgewerbe,,,,254
2025,Ordnungswidrigkeitenverfahren,Sachsen-Anhalt,code15,Gaststätten- und Beherbergungsgewerbe,,,,223
2024,Ordnungswidrigkeitenverfahren,Sachsen-Anhalt,code15,Frisör- und Kosmetikgewerbe,,,,15
2025,Ordnungswidrigkeitenverfahren,Sachsen-Anhalt,code15,Frisör- und Kosmetikgewerbe,,,,36
2024,Ordnungswidrigkeitenverfahren,Sachsen-Anhalt,code15,"Speditions-, Transport- und Logistikgewerbe",,,,46
2025,Ordnungswidrigkeitenverfahren,Sachsen-Anhalt,code15,"Speditions-, Transport- und Logistikgewerbe",,,,42
2024,Ordnungswidrigkeitenverfahren,Schleswig-Holstein,code01,,,,,2344
2025,Ordnungswidrigkeitenverfahren,Schleswig-Holstein,code01,,,,,1947
2024,Ordnungswidrigkeitenverfahren,Schleswig-Holstein,code01,Baugewerbe,,,,242
2025,Ordnungswidrigkeitenverfahren,Schleswig-Holstein,code01,Baugewerbe,,,,159
2024,Ordnungswidrigkeitenverfahren,Schleswig-Holstein,code01,Gaststätten- und Beherbergungsgewerbe,,,,539
2025,Ordnungswidrigkeitenverfahren,Schleswig-Holstein,code01,Gaststätten- und Beherbergungsgewerbe,,,,494
2024,Ordnungswidrigkeitenverfahren,Schleswig-Holstein,code01,Frisör- und Kosmetikgewerbe,,,,49
2025,Ordnungswidrigkeitenverfahren,Schleswig-Holstein,code01,Frisör- und Kosmetikgewerbe,,,,59
2024,Ordnungswidrigkeitenverfahren,Schleswig-Holstein,code01,"Speditions-, Transport- und Logistikgewerbe",,,,187
2025,Ordnungswidrigkeitenverfahren,Schleswig-Holstein,code01,"Speditions-, Transport- und Logistikgewerbe",,,,177
2024,Ordnungswidrigkeitenverfahren,Thüringen,code16,,,,,1642
2025,Ordnungswidrigkeitenverfahren,Thüringen,code16,,,,,1663
2024,Ordnungswidrigkeitenverfahren,Thüringen,code16,Baugewerbe,,,,213
2025,Ordnungswidrigkeitenverfahren,Thüringen,code16,Baugewerbe,,,,208
2024,Ordnungswidrigkeitenverfahren,Thüringen,code16,Gaststätten- und Beherbergungsgewerbe,,,,504
2025,Ordnungswidrigkeitenverfahren,Thüringen,code16,Gaststätten- und Beherbergungsgewerbe,,,,526
2024,Ordnungswidrigkeitenverfahren,Thüringen,code16,Frisör- und Kosmetikgewerbe,,,,85
2025,Ordnungswidrigkeitenverfahren,Thüringen,code16,Frisör- und Kosmetikgewerbe,,,,91
2024,Ordnungswidrigkeitenverfahren,Thüringen,code16,"Speditions-, Transport- und Logistikgewerbe",,,,59
2025,Ordnungswidrigkeitenverfahren,Thüringen,code16,"Speditions-, Transport- und Logistikgewerbe",,,,63
2024,Strafverfahren,,,,,,,96813
2025,Strafverfahren,,,,,,,98186
2024,Strafverfahren,Baden-Württemberg,code08,,,,,11522
2025,Strafverfahren,Baden-Württemberg,code08,,,,,11395
2024,Strafverfahren,Baden-Württemberg,code08,Baugewerbe,,,,1338
2025,Strafverfahren,Baden-Württemberg,code08,Baugewerbe,,,,1239
2024,Strafverfahren,Baden-Württemberg,code08,Gaststätten- und Beherbergungsgewerbe,,,,1334
2025,Strafverfahren,Baden-Württemberg,code08,Gaststätten- und Beherbergungsgewerbe,,,,1168
2024,Strafverfahren,Baden-Württemberg,code08,Frisör- und Kosmetikgewerbe,,,,183
2025,Strafverfahren,Baden-Württemberg,code08,Frisör- und Kosmetikgewerbe,,,,227
2024,Strafverfahren,Baden-Württemberg,code08,"Speditions-, Transport- und Logistikgewerbe",,,,462
2025,Strafverfahren,Baden-Württemberg,code08,"Speditions-, Transport- und Logistikgewerbe",,,,461
2024,Strafverfahren,Bayern,code09,,,,,12558
2025,Strafverfahren,Bayern,code09,,,,,12441
2024,Strafverfahren,Bayern,code09,Baugewerbe,,,,1228
2025,Strafverfahren,Bayern,code09,Baugewerbe,,,,1235
2024,Strafverfahren,Bayern,code09,Gaststätten- und Beherbergungsgewerbe,,,,1774
2025,Strafverfahren,Bayern,code09,Gaststätten- und Beherbergungsgewerbe,,,,1614
2024,Strafverfahren,Bayern,code09,Frisör- und Kosmetikgewerbe,,,,126
2025,Strafverfahren,Bayern,code09,Frisör- und Kosmetikgewerbe,,,,149
2024,Strafverfahren,Bayern,code09,"Speditions-, Transport- und Logistikgewerbe",,,,530
2025,Strafverfahren,Bayern,code09,"Speditions-, Transport- und Logistikgewerbe",,,,581
2024,Strafverfahren,Berlin,code11,,,,,4200
2025,Strafverfahren,Berlin,code11,,,,,4530
2024,Strafverfahren,Berlin,code11,Baugewerbe,,,,216
2025,Strafverfahren,Berlin,code11,Baugewerbe,,,,208
2024,Strafverfahren,Berlin,code11,Gaststätten- und Beherbergungsgewerbe,,,,493
2025,Strafverfahren,Berlin,code11,Gaststätten- und Beherbergungsgewerbe,,,,487
2024,Strafverfahren,Berlin,code11,Frisör- und Kosmetikgewerbe,,,,116
2025,Strafverfahren,Berlin,code11,Frisör- und Kosmetikgewerbe,,,,161
2024,Strafverfahren,Berlin,code11,"Speditions-, Transport- und Logistikgewerbe",,,,108
2025,Strafverfahren,Berlin,code11,"Speditions-, Transport- und Logistikgewerbe",,,,164
2024,Strafverfahren,Brandenburg,code12,,,,,2794
2025,Strafverfahren,Brandenburg,code12,,,,,2902
2024,Strafverfahren,Brandenburg,code12,Baugewerbe,,,,267
2025,Strafverfahren,Brandenburg,code12,Baugewerbe,,,,288
2024,Strafverfahren,Brandenburg,code12,Gaststätten- und Beherbergungsgewerbe,,,,292
2025,Strafverfahren,Brandenburg,code12,Gaststätten- und Beherbergungsgewerbe,,,,294
2024,Strafverfahren,Brandenburg,code12,Frisör- und Kosmetikgewerbe,,,,37
2025,Strafverfahren,Brandenburg,code12,Frisör- und Kosmetikgewerbe,,,,55
2024,Strafverfahren,Brandenburg,code12,"Speditions-, Transport- und Logistikgewerbe",,,,66
2025,Strafverfahren,Brandenburg,code12,"Speditions-, Transport- und Logistikgewerbe",,,,117
2024,Strafverfahren,Bremen,code04,,,,,3108
2025,Strafverfahren,Bremen,code04,,,,,3493
2024,Strafverfahren,Bremen,code04,Baugewerbe,,,,178
2025,Strafverfahren,Bremen,code04,Baugewerbe,,,,192
2024,Strafverfahren,Bremen,code04,Gaststätten- und Beherbergungsgewerbe,,,,268
2025,Strafverfahren,Bremen,code04,Gaststätten- und Beherbergungsgewerbe,,,,299
2024,Strafverfahren,Bremen,code04,Frisör- und Kosmetikgewerbe,,,,47
2025,Strafverfahren,Bremen,code04,Frisör- und Kosmetikgewerbe,,,,62
2024,Strafverfahren,Bremen,code04,"Speditions-, Transport- und Logistikgewerbe",,,,131
2025,Strafverfahren,Bremen,code04,"Speditions-, Transport- und Logistikgewerbe",,,,109
2024,Strafverfahren,Hamburg,code02,,,,,3817
2025,Strafverfahren,Hamburg,code02,,,,,2896
2024,Strafverfahren,Hamburg,code02,Baugewerbe,,,,348
2025,Strafverfahren,Hamburg,code02,Baugewerbe,,,,285
2024,Strafverfahren,Hamburg,code02,Gaststätten- und Beherbergungsgewerbe,,,,549
2025,Strafverfahren,Hamburg,code02,Gaststätten- und Beherbergungsgewerbe,,,,404
2024,Strafverfahren,Hamburg,code02,Frisör- und Kosmetikgewerbe,,,,104
2025,Strafverfahren,Hamburg,code02,Frisör- und Kosmetikgewerbe,,,,104
2024,Strafverfahren,Hamburg,code02,"Speditions-, Transport- und Logistikgewerbe",,,,292
2025,Strafverfahren,Hamburg,code02,"Speditions-, Transport- und Logistikgewerbe",,,,212
2024,Strafverfahren,Hessen,code06,,,,,7411
2025,Strafverfahren,Hessen,code06,,,,,7984
2024,Strafverfahren,Hessen,code06,Baugewerbe,,,,1209
2025,Strafverfahren,Hessen,code06,Baugewerbe,,,,1028
2024,Strafverfahren,Hessen,code06,Gaststätten- und Beherbergungsgewerbe,,,,556
2025,Strafverfahren,Hessen,code06,Gaststätten- und Beherbergungsgewerbe,,,,590
2024,Strafverfahren,Hessen,code06,Frisör- und Kosmetikgewerbe,,,,80
2025,Strafverfahren,Hessen,code06,Frisör- und Kosmetikgewerbe,,,,154
2024,Strafverfahren,Hessen,code06,"Speditions-, Transport- und Logistikgewerbe",,,,225
2025,Strafverfahren,Hessen,code06,"Speditions-, Transport- und Logistikgewerbe",,,,266
2024,Strafverfahren,Mecklenburg-Vorpommern,code13,,,,,2375
2025,Strafverfahren,Mecklenburg-Vorpommern,code13,,,,,2287
2024,Strafverfahren,Mecklenburg-Vorpommern,code13,Baugewerbe,,,,111
2025,Strafverfahren,Mecklenburg-Vorpommern,code13,Baugewerbe,,,,86
2024,Strafverfahren,Mecklenburg-Vorpommern,code13,Gaststätten- und Beherbergungsgewerbe,,,,127
2025,Strafverfahren,Mecklenburg-Vorpommern,code13,Gaststätten- und Beherbergungsgewerbe,,,,117
2024,Strafverfahren,Mecklenburg-Vorpommern,code13,Frisör- und Kosmetikgewerbe,,,,20
2025,Strafverfahren,Mecklenburg-Vorpommern,code13,Frisör- und Kosmetikgewerbe,,,,19
2024,Strafverfahren,Mecklenburg-Vorpommern,code13,"Speditions-, Transport- und Logistikgewerbe",,,,12
2025,Strafverfahren,Mecklenburg-Vorpommern,code13,"Speditions-, Transport- und Logistikgewerbe",,,,16
2024,Strafverfahren,Niedersachsen,code03,,,,,9076
2025,Strafverfahren,Niedersachsen,code03,,,,,8306
2024,Strafverfahren,Niedersachsen,code03,Baugewerbe,,,,851
2025,Strafverfahren,Niedersachsen,code03,Baugewerbe,,,,618
2024,Strafverfahren,Niedersachsen,code03,Gaststätten- und Beherbergungsgewerbe,,,,781
2025,Strafverfahren,Niedersachsen,code03,Gaststätten- und Beherbergungsgewerbe,,,,746
2024,Strafverfahren,Niedersachsen,code03,Frisör- und Kosmetikgewerbe,,,,56
2025,Strafverfahren,Niedersachsen,code03,Frisör- und Kosmetikgewerbe,,,,58
