Year,Units,Messgröße,Art des Finanzstroms,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,288.1
2011,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,258.3
2012,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,214.5
2013,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,341.6
2014,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,653.6
2015,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,634.5
2016,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,609.9
2017,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,620.4
2018,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,547.1
2019,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,898.7
2020,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,965.6
2021,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,1159.8
2022,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,1006.3
2023,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,549.3
2024,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,484.2
2010,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,202.7
2011,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,247.8
2012,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,218.1
2013,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,312.2
2014,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,268.4
2015,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,485.0
2016,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,518.8
2017,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,569.7
2018,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,482.5
2019,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,536.5
2020,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,798.4
2021,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,717.8
2022,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1284.6
