Year,Units,Sektor,Art der öffentlichen Entwicklungsleistung,Art des Finanzstroms,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2024,Millionen EUR,Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2010,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,131.6
2011,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2012,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,79.432
2013,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,49.641
2014,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,9.584
2015,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2016,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2017,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2018,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,72.34
2019,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,52.089
2020,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,18.869
2021,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,39.431
2022,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,39.498
2023,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,4.442
2024,Millionen EUR,Transport und Lagerung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2010,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2011,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2012,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2013,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2014,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2015,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2016,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2017,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2018,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,19.649
2019,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,28.006
2020,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,22.237
2021,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,20.82
2022,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,50.769
2023,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2024,Millionen EUR,Kommunikation,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2010,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2011,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2012,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2013,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2014,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2015,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2016,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2017,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2018,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,154.328
2019,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,146.486
2020,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,94.567
2021,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,89.522
2022,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,176.929
2023,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,29.239
2024,Millionen EUR,Energie,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,141.034
2010,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2011,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2012,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2013,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2014,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2015,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2016,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2017,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2018,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2019,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2020,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2021,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2022,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2023,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2024,Millionen EUR,Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,
2010,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,869.6
2011,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1134.247
2012,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1606.788
2013,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1176.723
2014,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1000.918
2015,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1207.87
2016,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,824.586
2017,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1737.466
2018,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1912.051
2019,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1618.771
2020,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1476.441
2021,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1333.256
2022,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1666.338
2023,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,779.028
2024,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1507.27
2010,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,564.193
2011,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,97.399
2012,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,114.575
2013,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,334.893
2014,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,198.888
2015,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,943.996
2016,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1320.895
2017,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,579.772
2018,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,70.46
2019,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1050.299
2020,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,1038.249
2021,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,814.127
2022,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,627.972
2023,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,936.07
2024,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Zusagen,Öffentliche Entwicklungsleistungen,,,,585.837
2010,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,28.496
2011,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,18.752
2012,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,13.597
2013,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,40.221
2014,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,78.621
2015,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,39.723
2016,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,17.672
2017,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,45.615
2018,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,16.099
2019,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,80.809
2020,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,51.805
2021,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,190.351
2022,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,105.403
2023,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,53.766
2024,"Millionen USD, konstante Preise (2024)",Kommunikation,Zusagen,Öffentliche Entwicklungsleistungen,,,,42.11
2010,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,2781.474
2011,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,1688.966
2012,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,1558.734
2013,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,2316.795
2014,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,4275.099
2015,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,2827.148
2016,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,3254.353
2017,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,2987.308
2018,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,3956.833
2019,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,2656.445
2020,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,2073.329
2021,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,1793.827
2022,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,4240.013
2023,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,3435.059
2024,"Millionen USD, konstante Preise (2024)",Energie,Zusagen,Öffentliche Entwicklungsleistungen,,,,2149.622
2010,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,79.57
2011,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,474.754
2012,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,73.073
2013,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,198.97
2014,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,74.643
2015,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,128.363
2016,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,634.98
2017,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,281.808
2018,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,291.157
2019,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,371.764
2020,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,451.152
2021,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,173.541
2022,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,961.605
2023,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,488.2
2024,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Zusagen,Öffentliche Entwicklungsleistungen,,,,148.674
2010,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,689.39
2011,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,750.302
2012,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,672.966
2013,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,718.382
2014,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,987.449
2015,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1044.745
2016,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1037.405
2017,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1096.923
2018,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1130.546
2019,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1009.517
2020,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1072.627
2021,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,922.089
2022,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,917.616
2023,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,988.529
2024,"Millionen USD, konstante Preise (2024)",Wasserversorgung und Abwasserentsorgung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1405.12
2010,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,206.013
2011,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,284.383
2012,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,244.446
2013,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,404.44
2014,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,152.315
2015,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,611.213
2016,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,527.931
2017,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,333.978
2018,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,369.738
2019,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,588.284
2020,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,450.913
2021,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,209.473
2022,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,294.658
2023,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,396.711
2024,"Millionen USD, konstante Preise (2024)",Transport und Lagerung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,488.272
2010,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,31.532
2011,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,11.787
2012,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,8.186
2013,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,33.474
2014,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,82.019
2015,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,35.585
2016,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,19.391
2017,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,37.084
2018,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,12.068
2019,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,38.205
2020,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,47.476
2021,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,86.297
2022,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,97.851
2023,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,61.774
2024,"Millionen USD, konstante Preise (2024)",Kommunikation,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,54.514
2010,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1602.086
2011,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1357.594
2012,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,917.829
2013,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1353.713
2014,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1756.429
2015,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2291.503
2016,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2370.165
2017,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2052.423
2018,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2119.853
2019,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2117.597
2020,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2051.442
2021,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,1741.255
2022,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2365.598
2023,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2496.565
2024,"Millionen USD, konstante Preise (2024)",Energie,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,2880.6
2010,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,97.526
2011,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,133.736
2012,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,110.022
2013,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,71.161
2014,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,74.688
2015,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,91.947
2016,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,183.61
2017,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,210.296
2018,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,310.585
2019,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,287.276
2020,"Millionen USD, konstante Preise (2024)",Stadtentwicklung und Stadtverwaltung,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,418.405
