Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,.,,,
2011,.,,,
2012,.,,,
2013,.,,,
2014,.,,,
2015,.,,,
2016,.,,,
2017,.,,,
2018,.,,,
2019,.,,,
2020,.,,,
2021,,,,17.6
2022,,,,85.7
2023,,,,98.1
2024,,,,99.5
