Year,COMMENT_OBS,Value
2010,,4089
2011,,4216
2012,,4377
2013,,4389
2014,,4334
2015,,4721
2016,,4842
2017,,5068
2018,,5224
2019,,5419
2020,r,5421
2021,p,5520
