Year,Units,Value
Units,Manufacturing gross value added as a proportion of GDP (%),20.0
Manufacturing gross value added as a proportion of GDP (%),20.6,
Manufacturing gross value added as a proportion of GDP (%),20.4,
Manufacturing gross value added as a proportion of GDP (%),20.2,
Manufacturing gross value added as a proportion of GDP (%),20.6,
Manufacturing gross value added as a proportion of GDP (%),20.8,
Manufacturing gross value added as a proportion of GDP (%),20.6,
Manufacturing gross value added as a proportion of GDP (%),20.7,
Manufacturing gross value added as a proportion of GDP (%),,
Manufacturing gross value added as a proportion of total gross value added (%),22.2,
Manufacturing gross value added as a proportion of total gross value added (%),22.9,
Manufacturing gross value added as a proportion of total gross value added (%),22.7,
Manufacturing gross value added as a proportion of total gross value added (%),22.4,
Manufacturing gross value added as a proportion of total gross value added (%),22.9,
Manufacturing gross value added as a proportion of total gross value added (%),23.1,
Manufacturing gross value added as a proportion of total gross value added (%),22.9,
Manufacturing gross value added as a proportion of total gross value added (%),22.9,
Manufacturing gross value added as a proportion of total gross value added (%),,
Manufacturing gross value added per capita (EUR),6417,
Manufacturing gross value added per capita (EUR),6926,
Manufacturing gross value added per capita (EUR),7004,
Manufacturing gross value added per capita (EUR),7073,
Manufacturing gross value added per capita (EUR),7457,
Manufacturing gross value added per capita (EUR),7736,
Manufacturing gross value added per capita (EUR),7879,
Manufacturing gross value added per capita (EUR),8156,
Manufacturing gross value added per capita (EUR),,
