Year,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,4.21,r,,
2011,,.,,
2012,,.,,
2013,,.,,
2014,,.,,
2015,4.06,|,,
2016,4.00,,,
2017,3.99,,,
2018,3.98,,,
2019,3.99,,,
2020,2.37,,,
