Year,timeseries,Value
number,public access to information (number),1
number,public access to information (number),1
number,public access to information (number),1
number,public access to information (number),1
number,public access to information (number),1
number,public access to information (number),1
number,public access to information (number),1
number,public access to information (number),1
number,public access to information (number),1
