Year,Units,Value
2010,Export refunds (EUR),29872803.1
2011,Export refunds (EUR),18944934.0
2012,Export refunds (EUR),5781374.0
2013,Export refunds (EUR),1396385.0
2014,Export refunds (EUR),533798.0
2015,Export refunds (EUR),50637.0
2016,Export refunds (EUR),30454.0
2017,Export refunds (EUR),26662.0
2018,Export refunds (EUR),44145.0
