Year,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2012,female,,,,42.8
2017,female,,,,38.8
2020,female,|,,,13.1
2012,male,,,,28.3
2017,male,,,,27.3
2020,male,|,,,37.2
