Year,Units,timeseries,Value
"mn usd,constant prices (2016),oda (gross disbursements) to the agriculture sector,246.8
2011,mn usd",constant prices (2016),oda (gross disbursements) to the agriculture sector,298.5
"mn usd,constant prices (2016),oda (gross disbursements) to the agriculture sector,258.8
2013,mn usd",constant prices (2016),oda (gross disbursements) to the agriculture sector,363.2
"mn usd,constant prices (2016),oda (gross disbursements) to the agriculture sector,306.9
2015,mn usd",constant prices (2016),oda (gross disbursements) to the agriculture sector,543.5
"mn usd,constant prices (2016),oda (gross disbursements) to the agriculture sector,573.7
2017,mn usd",constant prices (2016),oda (gross disbursements) to the agriculture sector,620.4
