Year,Units,Value
2010,"mn usd, constant prices (2020)",188.2
2011,"mn usd, constant prices (2020)",124.8
2012,"mn usd, constant prices (2020)",154.6
2013,"mn usd, constant prices (2020)",231.7
2014,"mn usd, constant prices (2020)",251.1
2015,"mn usd, constant prices (2020)",318.0
2016,"mn usd, constant prices (2020)",380.3
2017,"mn usd, constant prices (2020)",457.8
2018,"mn usd, constant prices (2020)",482.8
2019,"mn usd, constant prices (2020)",520.7
2020,"mn usd, constant prices (2020)",1702.7
2010,mn eur,139.9
2011,mn eur,93.8
2012,mn eur,117.9
2013,mn eur,180.2
2014,mn eur,198.9
2015,mn eur,256.6
2016,mn eur,310.9
2017,mn eur,380.0
2018,mn eur,408.6
2019,mn eur,449.8
2020,mn eur,1494.2
