Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,19.8
2011,,,,17.4
2012,,,,17.5
2013,,,,18.1
2014,,,,17.2
2015,,,,16.6
2016,,,,16.9
2017,,,,16.7
2018,,,,15.4
2019,,,,14.5
