Year,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,100,s,,
2011,100,s,,
2012,100,s,,
2013,100,s,,
2014,100,s,,
2015,100,s,,
2016,100,s,,
2017,100,s,,
2018,100,s,,
2019,100,s,,
2020,100,s,,
2021,100,s,,
2022,100,s,,
2023,100,s,,
2024,100,s,,
