Year,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,50.5,,,
2011,50.1,,,
2012,51.2,,,
2013,51.5,,,
2014,51.4,,,
2015,51.8,,,
2016,52.0,,,
2017,52.1,,,
2018,53.1,,,
2019,53.8,,,
2020,55.1,,,
2021,53.5,p,,
2022,52.8,p,,
2023,53.3,p,,
2024,54.6,p,,
