Year,Units,Mode of transport,Value
2017,a) Passenger transport (Mn pkm),commercial air transport (Mn pkm),67523.0
2018,a) Passenger transport (Mn pkm),commercial air transport (Mn pkm),
2010,a) Passenger transport (Mn pkm),motorised private transport (Mn pkm),902440.0
2011,a) Passenger transport (Mn pkm),motorised private transport (Mn pkm),912417.0
2012,a) Passenger transport (Mn pkm),motorised private transport (Mn pkm),914563.0
2013,a) Passenger transport (Mn pkm),motorised private transport (Mn pkm),921420.0
2014,a) Passenger transport (Mn pkm),motorised private transport (Mn pkm),934960.0
2015,a) Passenger transport (Mn pkm),motorised private transport (Mn pkm),945730.0
2016,a) Passenger transport (Mn pkm),motorised private transport (Mn pkm),965460.0
2017,a) Passenger transport (Mn pkm),motorised private transport (Mn pkm),
2018,a) Passenger transport (Mn pkm),motorised private transport (Mn pkm),
2010,b) Freight transport (Mn tkm),627857,
2011,b) Freight transport (Mn tkm),627966,
2012,b) Freight transport (Mn tkm),618911,
2013,b) Freight transport (Mn tkm),636011,
2014,b) Freight transport (Mn tkm),643567,
2015,b) Freight transport (Mn tkm),651928,
2016,b) Freight transport (Mn tkm),666923,
2017,b) Freight transport (Mn tkm),,
2018,b) Freight transport (Mn tkm),,
2010,b) Freight transport (Mn tkm),road transport (Mn tkm),440600.0
2011,b) Freight transport (Mn tkm),road transport (Mn tkm),442635.0
2012,b) Freight transport (Mn tkm),road transport (Mn tkm),431999.0
2013,b) Freight transport (Mn tkm),road transport (Mn tkm),443681.0
2014,b) Freight transport (Mn tkm),road transport (Mn tkm),452939.0
2015,b) Freight transport (Mn tkm),road transport (Mn tkm),460200.0
2016,b) Freight transport (Mn tkm),road transport (Mn tkm),464000.0
2017,b) Freight transport (Mn tkm),road transport (Mn tkm),
2018,b) Freight transport (Mn tkm),road transport (Mn tkm),
2010,b) Freight transport (Mn tkm),rail transport (Mn tkm),107292.0
2011,b) Freight transport (Mn tkm),rail transport (Mn tkm),113201.0
2012,b) Freight transport (Mn tkm),rail transport (Mn tkm),110797.0
2013,b) Freight transport (Mn tkm),rail transport (Mn tkm),112670.0
2014,b) Freight transport (Mn tkm),rail transport (Mn tkm),112553.0
2015,b) Freight transport (Mn tkm),rail transport (Mn tkm),117252.0
2016,b) Freight transport (Mn tkm),rail transport (Mn tkm),128296.0
2017,b) Freight transport (Mn tkm),rail transport (Mn tkm),129361.0
2018,b) Freight transport (Mn tkm),rail transport (Mn tkm),
2010,b) Freight transport (Mn tkm),inland waterway transport (Mn tkm),62278.0
2011,b) Freight transport (Mn tkm),inland waterway transport (Mn tkm),55027.0
2012,b) Freight transport (Mn tkm),inland waterway transport (Mn tkm),58488.0
2013,b) Freight transport (Mn tkm),inland waterway transport (Mn tkm),60070.0
2014,b) Freight transport (Mn tkm),inland waterway transport (Mn tkm),59093.0
2015,b) Freight transport (Mn tkm),inland waterway transport (Mn tkm),55315.0
2016,b) Freight transport (Mn tkm),inland waterway transport (Mn tkm),54347.0
2017,b) Freight transport (Mn tkm),inland waterway transport (Mn tkm),55518.0
2018,b) Freight transport (Mn tkm),inland waterway transport (Mn tkm),46900.0
2010,b) Freight transport (Mn tkm),commercial air transport (Mn tkm),1428.0
2011,b) Freight transport (Mn tkm),commercial air transport (Mn tkm),1480.0
2012,b) Freight transport (Mn tkm),commercial air transport (Mn tkm),1420.0
2013,b) Freight transport (Mn tkm),commercial air transport (Mn tkm),1410.0
2014,b) Freight transport (Mn tkm),commercial air transport (Mn tkm),1441.0
2015,b) Freight transport (Mn tkm),commercial air transport (Mn tkm),1447.0
2016,b) Freight transport (Mn tkm),commercial air transport (Mn tkm),1519.0
2017,b) Freight transport (Mn tkm),commercial air transport (Mn tkm),1617.0
2018,b) Freight transport (Mn tkm),commercial air transport (Mn tkm),
2010,b) Freight transport (Mn tkm),transport via pipeline: crude oil (Mn tkm),16259.0
2011,b) Freight transport (Mn tkm),transport via pipeline: crude oil (Mn tkm),15623.0
2012,b) Freight transport (Mn tkm),transport via pipeline: crude oil (Mn tkm),16207.0
2013,b) Freight transport (Mn tkm),transport via pipeline: crude oil (Mn tkm),18180.0
2014,b) Freight transport (Mn tkm),transport via pipeline: crude oil (Mn tkm),17541.0
2015,b) Freight transport (Mn tkm),transport via pipeline: crude oil (Mn tkm),17714.0
2016,b) Freight transport (Mn tkm),transport via pipeline: crude oil (Mn tkm),18761.0
2017,b) Freight transport (Mn tkm),transport via pipeline: crude oil (Mn tkm),18239.0
2018,b) Freight transport (Mn tkm),transport via pipeline: crude oil (Mn tkm),17225.0
