Year,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,11.207,,,
2011,11.999,,,
2012,13.162,,,
2013,13.320,,,
2014,13.807,,,
2015,14.356,,,
2016,14.338,,,
2017,15.321,,,
2018,16.008,,,
2019,16.840,,,
2020,18.639,,,
2021,17.965,,,
2022,19.729,,,
