Year,Value
2010,0.0079
2011,0.0070
2012,0.0069
2013,0.0079
2014,0.0124
2015,0.0130
2016,0.0117
2017,0.0116
2018,0.0109
2019,0.0120
2020,0.0044
2021,0.0074
2022,0.0092
2023,0.0100
