Year,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,3.7,,,
2011,2.6,,,
2012,-0.7,,,
2013,-0.4,,,
2014,1.3,,,
2015,0.8,,,
2016,1.0,,,
2017,1.3,,,
2018,-0.2,,,
2019,0.1,,,
2020,-3.4,,,
2021,3.5,p,,
2022,0.0,0,p,
2023,-1.0,p,,
2024,-0.4,p,,
