Year,Units,Value
2010,mn t,1263
2011,mn t,1363
2012,mn t,1318
2013,mn t,1311
2014,mn t,1373
2015,mn t,1293
2016,mn t,1304
2017,mn t,1296
2010,t per capita,15.7
2011,t per capita,17.0
2012,t per capita,16.4
2013,t per capita,16.3
2014,t per capita,17.0
2015,t per capita,15.8
2016,t per capita,15.8
2017,t per capita,15.7
2010,2010 = 100,100.0
2011,2010 = 100,103.9
2012,2010 = 100,100.0
2013,2010 = 100,99.0
2014,2010 = 100,101.4
2015,2010 = 100,93.9
2016,2010 = 100,92.7
2017,2010 = 100,89.9
