Year,activities,age,Value
2014,written code in a programming language,16 to under 25 years,
2015,written code in a programming language,16 to under 25 years,12
2016,written code in a programming language,16 to under 25 years,13
2017,written code in a programming language,16 to under 25 years,12
2018,written code in a programming language,16 to under 25 years,
2019,written code in a programming language,16 to under 25 years,14
2010,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2011,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,62
2012,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,57
2013,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2014,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,62
2015,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2016,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2017,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2018,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2019,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2010,transferred files between computer and other devices,16 to under 25 years,
2011,transferred files between computer and other devices,16 to under 25 years,92
2012,transferred files between computer and other devices,16 to under 25 years,88
2013,transferred files between computer and other devices,16 to under 25 years,
2014,transferred files between computer and other devices,16 to under 25 years,91
2015,transferred files between computer and other devices,16 to under 25 years,86
2016,transferred files between computer and other devices,16 to under 25 years,85
2017,transferred files between computer and other devices,16 to under 25 years,83
2018,transferred files between computer and other devices,16 to under 25 years,
2019,transferred files between computer and other devices,16 to under 25 years,80
2010,installed software or applications (apps),16 to under 25 years,
2011,installed software or applications (apps),16 to under 25 years,
2012,installed software or applications (apps),16 to under 25 years,
2013,installed software or applications (apps),16 to under 25 years,
2014,installed software or applications (apps),16 to under 25 years,
2015,installed software or applications (apps),16 to under 25 years,87
2016,installed software or applications (apps),16 to under 25 years,89
2017,installed software or applications (apps),16 to under 25 years,86
2018,installed software or applications (apps),16 to under 25 years,
2019,installed software or applications (apps),16 to under 25 years,88
2010,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",16 to under 25 years,
2011,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",16 to under 25 years,67
2012,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",16 to under 25 years,57
2013,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",16 to under 25 years,
2014,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",16 to under 25 years,67
2015,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",16 to under 25 years,
2016,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",16 to under 25 years,
2017,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",16 to under 25 years,
2018,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",16 to under 25 years,
2019,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",16 to under 25 years,
2010,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,
2011,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,
2012,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,
2013,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,
2014,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,
2015,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,35
2016,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,34
2017,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,36
2018,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,
2019,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,34
2010,copied or moved a file and folder,25 to under 65 years,
2011,copied or moved a file and folder,25 to under 65 years,76
2012,copied or moved a file and folder,25 to under 65 years,71
2013,copied or moved a file and folder,25 to under 65 years,
2014,copied or moved a file and folder,25 to under 65 years,80
2015,copied or moved a file and folder,25 to under 65 years,72
2016,copied or moved a file and folder,25 to under 65 years,72
2017,copied or moved a file and folder,25 to under 65 years,73
2018,copied or moved a file and folder,25 to under 65 years,
2019,copied or moved a file and folder,25 to under 65 years,75
2010,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,
2011,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,74
2012,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,69
2013,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,
2014,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,77
2015,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,
2016,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,
2017,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,
2018,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,
2019,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,
2010,written code in a programming language,25 to under 65 years,
2011,written code in a programming language,25 to under 65 years,
2012,written code in a programming language,25 to under 65 years,
2013,written code in a programming language,25 to under 65 years,
2014,written code in a programming language,25 to under 65 years,
2015,written code in a programming language,25 to under 65 years,6
2016,written code in a programming language,25 to under 65 years,5
2017,written code in a programming language,25 to under 65 years,5
2018,written code in a programming language,25 to under 65 years,
2019,written code in a programming language,25 to under 65 years,5
2010,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,
2011,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,47
2012,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,48
2013,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,
2014,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,53
2015,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,
2016,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,
2017,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,
2018,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,
2019,"connecting and installing new devices, eg a printer or a modem",25 to under 65 years,
2010,transferred files between computer and other devices,25 to under 65 years,
2011,transferred files between computer and other devices,25 to under 65 years,63
2012,transferred files between computer and other devices,25 to under 65 years,61
2013,transferred files between computer and other devices,25 to under 65 years,
2014,transferred files between computer and other devices,25 to under 65 years,68
2015,transferred files between computer and other devices,25 to under 65 years,63
2016,transferred files between computer and other devices,25 to under 65 years,65
2017,transferred files between computer and other devices,25 to under 65 years,66
2018,transferred files between computer and other devices,25 to under 65 years,
2019,transferred files between computer and other devices,25 to under 65 years,69
2010,installed software or applications (apps),25 to under 65 years,
2011,installed software or applications (apps),25 to under 65 years,
2012,installed software or applications (apps),25 to under 65 years,
2013,installed software or applications (apps),25 to under 65 years,
2014,installed software or applications (apps),25 to under 65 years,
2015,installed software or applications (apps),25 to under 65 years,63
2016,installed software or applications (apps),25 to under 65 years,66
2017,installed software or applications (apps),25 to under 65 years,65
2018,installed software or applications (apps),25 to under 65 years,
2019,installed software or applications (apps),25 to under 65 years,72
2010,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,
2011,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,32
2012,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,30
2013,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,
2014,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,33
2015,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,
2016,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,
2017,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,
2018,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,
2019,"creating electronic presentations with presentation software (e.g. slides), including e.g. images, sound, video or charts",25 to under 65 years,
2010,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,
2011,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,
2012,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,
2013,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,
2014,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,
2015,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,35
2016,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,34
2017,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,37
2018,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,
2019,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",25 to under 65 years,37
