Year,timeseries,sex,age group,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,reporting rate for sexual violence,,65 to under 75 years,,.,,
2011,reporting rate for sexual violence,,65 to under 75 years,,.,,
2012,reporting rate for sexual violence,,65 to under 75 years,28.3,,,
2013,reporting rate for sexual violence,,65 to under 75 years,,.,,
2014,reporting rate for sexual violence,,65 to under 75 years,,.,,
2015,reporting rate for sexual violence,,65 to under 75 years,,.,,
2016,reporting rate for sexual violence,,65 to under 75 years,,.,,
2017,reporting rate for sexual violence,,65 to under 75 years,27.3,,,
2018,reporting rate for sexual violence,,65 to under 75 years,,.,,
2019,reporting rate for sexual violence,,65 to under 75 years,,.,,
2020,reporting rate for sexual violence,,65 to under 75 years,37.2,|,,
2021,reporting rate for sexual violence,,65 to under 75 years,,…,,
2022,reporting rate for sexual violence,,65 to under 75 years,,…,,
2023,reporting rate for sexual violence,,65 to under 75 years,,…,,
2010,reporting rate for sexual violence,,75 years and older,,.,,
2011,reporting rate for sexual violence,,75 years and older,,.,,
2012,reporting rate for sexual violence,,75 years and older,28.0,,,
2013,reporting rate for sexual violence,,75 years and older,,.,,
2014,reporting rate for sexual violence,,75 years and older,,.,,
2015,reporting rate for sexual violence,,75 years and older,,.,,
2016,reporting rate for sexual violence,,75 years and older,,.,,
2017,reporting rate for sexual violence,,75 years and older,29.8,,,
2018,reporting rate for sexual violence,,75 years and older,,.,,
2019,reporting rate for sexual violence,,75 years and older,,.,,
2020,reporting rate for sexual violence,,75 years and older,12.6,|,,
2021,reporting rate for sexual violence,,75 years and older,,…,,
2022,reporting rate for sexual violence,,75 years and older,,…,,
2023,reporting rate for sexual violence,,75 years and older,,…,,
