Year,Units,Value
2010,mj/eur,5.5
2011,mj/eur,5.0
2012,mj/eur,4.9
2013,mj/eur,4.9
2014,mj/eur,4.5
2015,mj/eur,4.4
2016,mj/eur,4.3
2017,mj/eur,4.1
2018,mj/eur,3.9
2019,mj/eur,3.7
2010,2010 = 100,100.0
2011,2010 = 100,92.0
2012,2010 = 100,90.6
2013,2010 = 100,92.8
2014,2010 = 100,86.5
2015,2010 = 100,85.6
2016,2010 = 100,85.4
2017,2010 = 100,83.4
2018,2010 = 100,80.0
2019,2010 = 100,77.4
