Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,.,,,
2011,.,,,
2012,.,,,
2013,.,,,
2014,,,,8.099
2015,,,,8.090
2016,,,,8.077
2017,,,,8.071
2018,,,,8.071
2019,,,,8.076
2020,,,,8.072
2021,,,,8.050
2022,,,,8.043
2023,,,,8.060
2024,,,,8.038
