Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,930.2
2011,,,,906.7
2012,,,,917.0
2013,,,,934.0
2014,,,,893.5
2015,,,,901.8
2016,,,,897.3
2017,,,,882.2
2018,,,,852.9
2019,,,,798.0
2020,,,,733.0
2021,,,,761.4
2022,,,,748.8
2023,,,,672.0
2024,,,,649.1
