Year,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,77,,,
2011,73,,,
2012,90,,,
2013,66,,,
2014,63,,,
2015,62,,,
2016,68,,,
2017,67,,,
2018,70,,,
2019,46,,,
2020,79,,,
2021,83,,,
2022,51,,,
2023,72,,,
2024,56,,,
