Year,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,18.8,,,
2011,24.6,,,
2012,27.5,,,
2013,29.0,,,
2014,34.8,,,
2015,40.6,,,
2016,37.7,,,
2017,39.1,,,
2018,39.1,,,
2019,36.2,,,
2020,34.8,,,
2021,33.3,,,
2022,31.9,,,
2023,37.7,,,
2024,37.7,,,
2025,34.8,,,
