Year,Value
2018 2Q,7.25
2018 3Q,7.31
2018 4Q,7.95
2019 1Q,7.59
2019 2Q,7.70
2019 3Q,7.64
2019 4Q,7.49
2020 1Q,7.70
2020 2Q,7.10
2020 3Q,7.47
2020 4Q,7.10
2021 1Q,7.26
2021 2Q,6.15
2021 3Q,6.37
2021 4Q,6.22
2022 1Q,6.10
2022 2Q,5.83
