Year,timeseries,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,proportion of oda (net disbursements) to gni,0.37,r,,
2011,proportion of oda (net disbursements) to gni,0.36,r,,
2012,proportion of oda (net disbursements) to gni,0.35,r,,
2013,proportion of oda (net disbursements) to gni,0.37,r,,
2014,proportion of oda (net disbursements) to gni,0.41,r,,
2015,proportion of oda (net disbursements) to gni,0.51,r,,
2016,proportion of oda (net disbursements) to gni,0.68,r,,
2017,proportion of oda (net disbursements) to gni,0.65,r,,
2018,proportion of oda (net disbursements) to gni,0.61,r,,
2019,proportion of oda (net disbursements) to gni,0.59,r,,
2020,proportion of oda (net disbursements) to gni,0.73,r,,
2021,proportion of oda (net disbursements) to gni,0.72,p,,
2022,proportion of oda (net disbursements) to gni,0.85,p,,
2023,proportion of oda (net disbursements) to gni,0.75,p,,
2010,proportion of bilateral and imputed multilateral oda (net disbursements) for ldcs to the gross national income (gni),0.10,r,,
2011,proportion of bilateral and imputed multilateral oda (net disbursements) for ldcs to the gross national income (gni),0.09,r,,
2012,proportion of bilateral and imputed multilateral oda (net disbursements) for ldcs to the gross national income (gni),0.10,r,,
2013,proportion of bilateral and imputed multilateral oda (net disbursements) for ldcs to the gross national income (gni),0.09,,,
2014,proportion of bilateral and imputed multilateral oda (net disbursements) for ldcs to the gross national income (gni),0.09,r,,
2015,proportion of bilateral and imputed multilateral oda (net disbursements) for ldcs to the gross national income (gni),0.07,r,,
2016,proportion of bilateral and imputed multilateral oda (net disbursements) for ldcs to the gross national income (gni),0.10,,,
2017,proportion of bilateral and imputed multilateral oda (net disbursements) for ldcs to the gross national income (gni),0.11,,,
2018,proportion of bilateral and imputed multilateral oda (net disbursements) for ldcs to the gross national income (gni),0.12,,,
2019,proportion of bilateral and imputed multilateral oda (net disbursements) for ldcs to the gross national income (gni),0.11,,,
2020,proportion of bilateral and imputed multilateral oda (net disbursements) for ldcs to the gross national income (gni),0.14,,,
2021,proportion of bilateral and imputed multilateral oda (net disbursements) for ldcs to the gross national income (gni),0.13,p,,
2022,proportion of bilateral and imputed multilateral oda (net disbursements) for ldcs to the gross national income (gni),0.11,p,,
2023,proportion of bilateral and imputed multilateral oda (net disbursements) for ldcs to the gross national income (gni),0.19,p,,
