Year,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,5.43,,,
2011,5.35,r,,
2012,5.24,r,,
2013,5.38,,,
2014,5.58,r,,
2015,7.15,,,
2016,7.25,,,
2017,6.76,r,,
2018,6.65,r,,
2019,5.81,r,,
2020,5.04,,,
2021,4.73,r,,
2022,4.76,r,,
2023,5.32,r,,
2024,5.19,p,,
