Year,Value,COMMENT_OBS_0
2010,,.
2011,,.
2012,,.
2013,,.
2014,21,
2015,,.
2016,,.
2017,,.
2018,23,
2019,,.
2020,,.
2021,,.
2022,25,
2023,26,
