Year,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,,.,,
2011,,.,,
2012,,.,,
2013,,.,,
2014,,.,,
2015,3.60,,,
2016,,.,,
2017,2.41,,,
2018,,.,,
2019,4.00,,,
2020,,.,,
2021,4.00,,,
2022,,.,,
2023,3.40,,,
