Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,40.82
2011,,,,40.90
2012,,,,41.04
2013,,,,41.15
2014,,,,41.35
2015,,,,42.06
2016,,,,42.77
2017,,,,42.73
2018,,,,42.27
2019,,,,42.21
2020,,,,41.86
2021,p,,,40.41
2022,p,,,40.79
2023,p,,,40.62
2024,p,,,41.25
