Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,documents issued for the import and export of protected species,306.3
2011,,,,documents issued for the import and export of protected species,312.1
2012,,,,documents issued for the import and export of protected species,336.9
2013,,,,documents issued for the import and export of protected species,391.4
2014,,,,documents issued for the import and export of protected species,406.8
2015,,,,documents issued for the import and export of protected species,404.4
2016,,,,documents issued for the import and export of protected species,447.8
2017,,,,documents issued for the import and export of protected species,474.7
2018,,,,documents issued for the import and export of protected species,490.5
2019,,,,documents issued for the import and export of protected species,474.5
2020,,,,documents issued for the import and export of protected species,489.4
2021,,,,documents issued for the import and export of protected species,560.0
2022,,,,documents issued for the import and export of protected species,537.3
2023,,,,documents issued for the import and export of protected species,611.7
2024,,,,documents issued for the import and export of protected species,624.9
2010,.,,,seizures by customs authorities concerning the protection of species,
2011,.,,,seizures by customs authorities concerning the protection of species,
2012,.,,,seizures by customs authorities concerning the protection of species,
2013,.,,,seizures by customs authorities concerning the protection of species,
2014,.,,,seizures by customs authorities concerning the protection of species,
2015,.,,,seizures by customs authorities concerning the protection of species,
2016,.,,,seizures by customs authorities concerning the protection of species,
2017,.,,,seizures by customs authorities concerning the protection of species,
2018,,,,seizures by customs authorities concerning the protection of species,4
2019,.,,,seizures by customs authorities concerning the protection of species,
2020,,,,seizures by customs authorities concerning the protection of species,4
2021,.,,,seizures by customs authorities concerning the protection of species,
2022,,,,seizures by customs authorities concerning the protection of species,4
2023,.,,,seizures by customs authorities concerning the protection of species,
2024,,,,seizures by customs authorities concerning the protection of species,5
2020,.,,,authorized imports and exports of protected species,
2021,,,,authorized imports and exports of protected species,100
2022,.,,,authorized imports and exports of protected species,
