Year,timeseries,Value
2010,proportion of total government revenue to gdp (%),42.06
2011,proportion of total government revenue to gdp (%),42.98
2012,proportion of total government revenue to gdp (%),42.69
2013,proportion of total government revenue to gdp (%),43.59
2014,proportion of total government revenue to gdp (%),45.10
2015,proportion of total government revenue to gdp (%),45.77
2016,proportion of total government revenue to gdp (%),47.05
2017,proportion of total government revenue to gdp (%),47.83
2018,proportion of total government revenue to gdp (%),48.93
2019,proportion of total government revenue to gdp (%),49.92
