Year,Time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,a) Branches of payment service providers,…,,,
2011,a) Branches of payment service providers,…,,,
2012,a) Branches of payment service providers,…,,,
2013,a) Branches of payment service providers,…,,,
2014,a) Branches of payment service providers,…,,,
2015,a) Branches of payment service providers,…,,,
2016,a) Branches of payment service providers,…,,,
2017,a) Branches of payment service providers,…,,,
2018,a) Branches of payment service providers,…,,,
2019,a) Branches of payment service providers,…,,,
2020,a) Branches of payment service providers,,,,433154.0
2021,a) Branches of payment service providers,,,,458101.0
2022,a) Branches of payment service providers,,,,493938.0
2023,a) Branches of payment service providers,,,,498001.0
2010,b) ATMs of national payment service providers,…,,,
2011,b) ATMs of national payment service providers,…,,,
2012,b) ATMs of national payment service providers,…,,,
2013,b) ATMs of national payment service providers,…,,,
2014,b) ATMs of national payment service providers,…,,,
2015,b) ATMs of national payment service providers,…,,,
2016,b) ATMs of national payment service providers,…,,,
2017,b) ATMs of national payment service providers,…,,,
2018,b) ATMs of national payment service providers,…,,,
2019,b) ATMs of national payment service providers,…,,,
2020,b) ATMs of national payment service providers,,,,521462.0
2021,b) ATMs of national payment service providers,,,,691160.0
2022,b) ATMs of national payment service providers,,,,667494.0
2023,b) ATMs of national payment service providers,,,,664668.0
