Year,time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2016,protection of biodiversity and landscape (cofog 5.4),,,,63.4
2018,protection of biodiversity and landscape (cofog 5.4),,,,64.5
2020,protection of biodiversity and landscape (cofog 5.4),,,,65.5
2016,cultural services (cofog 8.2),,,,97.9
2018,cultural services (cofog 8.2),,,,98.0
2020,cultural services (cofog 8.2),,,,97.9
