Year,type of proceeding,länder,GeoCode,industry,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,administrative offense proceedings,lower saxony,code03,restaurant and lodging industry,,,,1130
2025,administrative offense proceedings,lower saxony,code03,restaurant and lodging industry,,,,1438
2024,administrative offense proceedings,lower saxony,code03,hairdressing and beauty industry,,,,79
2025,administrative offense proceedings,lower saxony,code03,hairdressing and beauty industry,,,,172
2024,administrative offense proceedings,lower saxony,code03,"freight forwarding, transportation, and logistics industry",,,,208
2025,administrative offense proceedings,lower saxony,code03,"freight forwarding, transportation, and logistics industry",,,,253
2024,administrative offense proceedings,north rhine-westphalia,code05,,,,,10079
2025,administrative offense proceedings,north rhine-westphalia,code05,,,,,11214
2024,administrative offense proceedings,north rhine-westphalia,code05,construction industry,,,,1402
2025,administrative offense proceedings,north rhine-westphalia,code05,construction industry,,,,1414
2024,administrative offense proceedings,north rhine-westphalia,code05,restaurant and lodging industry,,,,2313
2025,administrative offense proceedings,north rhine-westphalia,code05,restaurant and lodging industry,,,,2586
2024,administrative offense proceedings,north rhine-westphalia,code05,hairdressing and beauty industry,,,,354
2025,administrative offense proceedings,north rhine-westphalia,code05,hairdressing and beauty industry,,,,402
2024,administrative offense proceedings,north rhine-westphalia,code05,"freight forwarding, transportation, and logistics industry",,,,572
2025,administrative offense proceedings,north rhine-westphalia,code05,"freight forwarding, transportation, and logistics industry",,,,737
2024,administrative offense proceedings,rhineland palatinate,code07,,,,,2230
2025,administrative offense proceedings,rhineland palatinate,code07,,,,,2407
2024,administrative offense proceedings,rhineland palatinate,code07,construction industry,,,,379
2025,administrative offense proceedings,rhineland palatinate,code07,construction industry,,,,346
2024,administrative offense proceedings,rhineland palatinate,code07,restaurant and lodging industry,,,,505
2025,administrative offense proceedings,rhineland palatinate,code07,restaurant and lodging industry,,,,631
2024,administrative offense proceedings,rhineland palatinate,code07,hairdressing and beauty industry,,,,46
2025,administrative offense proceedings,rhineland palatinate,code07,hairdressing and beauty industry,,,,67
2024,administrative offense proceedings,rhineland palatinate,code07,"freight forwarding, transportation, and logistics industry",,,,91
2025,administrative offense proceedings,rhineland palatinate,code07,"freight forwarding, transportation, and logistics industry",,,,84
2024,administrative offense proceedings,saarland,code10,,,,,1349
2025,administrative offense proceedings,saarland,code10,,,,,1349
2024,administrative offense proceedings,saarland,code10,construction industry,,,,89
2025,administrative offense proceedings,saarland,code10,construction industry,,,,77
2024,administrative offense proceedings,saarland,code10,restaurant and lodging industry,,,,249
2025,administrative offense proceedings,saarland,code10,restaurant and lodging industry,,,,214
2024,administrative offense proceedings,saarland,code10,hairdressing and beauty industry,,,,18
2025,administrative offense proceedings,saarland,code10,hairdressing and beauty industry,,,,15
2024,administrative offense proceedings,saarland,code10,"freight forwarding, transportation, and logistics industry",,,,83
2025,administrative offense proceedings,saarland,code10,"freight forwarding, transportation, and logistics industry",,,,96
2024,administrative offense proceedings,saxony,code14,,,,,1525
2025,administrative offense proceedings,saxony,code14,,,,,1413
2024,administrative offense proceedings,saxony,code14,construction industry,,,,334
2025,administrative offense proceedings,saxony,code14,construction industry,,,,303
2024,administrative offense proceedings,saxony,code14,restaurant and lodging industry,,,,519
2025,administrative offense proceedings,saxony,code14,restaurant and lodging industry,,,,521
2024,administrative offense proceedings,saxony,code14,hairdressing and beauty industry,,,,31
2025,administrative offense proceedings,saxony,code14,hairdressing and beauty industry,,,,54
2024,administrative offense proceedings,saxony,code14,"freight forwarding, transportation, and logistics industry",,,,65
2025,administrative offense proceedings,saxony,code14,"freight forwarding, transportation, and logistics industry",,,,72
2024,administrative offense proceedings,saxony-anhalt,code15,,,,,1194
2025,administrative offense proceedings,saxony-anhalt,code15,,,,,1296
2024,administrative offense proceedings,saxony-anhalt,code15,construction industry,,,,202
2025,administrative offense proceedings,saxony-anhalt,code15,construction industry,,,,185
2024,administrative offense proceedings,saxony-anhalt,code15,restaurant and lodging industry,,,,254
2025,administrative offense proceedings,saxony-anhalt,code15,restaurant and lodging industry,,,,223
2024,administrative offense proceedings,saxony-anhalt,code15,hairdressing and beauty industry,,,,15
2025,administrative offense proceedings,saxony-anhalt,code15,hairdressing and beauty industry,,,,36
2024,administrative offense proceedings,saxony-anhalt,code15,"freight forwarding, transportation, and logistics industry",,,,46
2025,administrative offense proceedings,saxony-anhalt,code15,"freight forwarding, transportation, and logistics industry",,,,42
2024,administrative offense proceedings,schleswig-holstein,code01,,,,,2344
2025,administrative offense proceedings,schleswig-holstein,code01,,,,,1947
2024,administrative offense proceedings,schleswig-holstein,code01,construction industry,,,,242
2025,administrative offense proceedings,schleswig-holstein,code01,construction industry,,,,159
2024,administrative offense proceedings,schleswig-holstein,code01,restaurant and lodging industry,,,,539
2025,administrative offense proceedings,schleswig-holstein,code01,restaurant and lodging industry,,,,494
2024,administrative offense proceedings,schleswig-holstein,code01,hairdressing and beauty industry,,,,49
2025,administrative offense proceedings,schleswig-holstein,code01,hairdressing and beauty industry,,,,59
2024,administrative offense proceedings,schleswig-holstein,code01,"freight forwarding, transportation, and logistics industry",,,,187
2025,administrative offense proceedings,schleswig-holstein,code01,"freight forwarding, transportation, and logistics industry",,,,177
2024,administrative offense proceedings,thuringia,code16,,,,,1642
2025,administrative offense proceedings,thuringia,code16,,,,,1663
2024,administrative offense proceedings,thuringia,code16,construction industry,,,,213
2025,administrative offense proceedings,thuringia,code16,construction industry,,,,208
2024,administrative offense proceedings,thuringia,code16,restaurant and lodging industry,,,,504
2025,administrative offense proceedings,thuringia,code16,restaurant and lodging industry,,,,526
2024,administrative offense proceedings,thuringia,code16,hairdressing and beauty industry,,,,85
2025,administrative offense proceedings,thuringia,code16,hairdressing and beauty industry,,,,91
2024,administrative offense proceedings,thuringia,code16,"freight forwarding, transportation, and logistics industry",,,,59
2025,administrative offense proceedings,thuringia,code16,"freight forwarding, transportation, and logistics industry",,,,63
2024,criminal proceedings,,,,,,,96813
2025,criminal proceedings,,,,,,,98186
2024,criminal proceedings,baden-württemberg,code08,,,,,11522
2025,criminal proceedings,baden-württemberg,code08,,,,,11395
2024,criminal proceedings,baden-württemberg,code08,construction industry,,,,1338
2025,criminal proceedings,baden-württemberg,code08,construction industry,,,,1239
2024,criminal proceedings,baden-württemberg,code08,restaurant and lodging industry,,,,1334
2025,criminal proceedings,baden-württemberg,code08,restaurant and lodging industry,,,,1168
2024,criminal proceedings,baden-württemberg,code08,hairdressing and beauty industry,,,,183
2025,criminal proceedings,baden-württemberg,code08,hairdressing and beauty industry,,,,227
2024,criminal proceedings,baden-württemberg,code08,"freight forwarding, transportation, and logistics industry",,,,462
2025,criminal proceedings,baden-württemberg,code08,"freight forwarding, transportation, and logistics industry",,,,461
2024,criminal proceedings,bavaria,code09,,,,,12558
2025,criminal proceedings,bavaria,code09,,,,,12441
2024,criminal proceedings,bavaria,code09,construction industry,,,,1228
2025,criminal proceedings,bavaria,code09,construction industry,,,,1235
2024,criminal proceedings,bavaria,code09,restaurant and lodging industry,,,,1774
2025,criminal proceedings,bavaria,code09,restaurant and lodging industry,,,,1614
2024,criminal proceedings,bavaria,code09,hairdressing and beauty industry,,,,126
2025,criminal proceedings,bavaria,code09,hairdressing and beauty industry,,,,149
2024,criminal proceedings,bavaria,code09,"freight forwarding, transportation, and logistics industry",,,,530
2025,criminal proceedings,bavaria,code09,"freight forwarding, transportation, and logistics industry",,,,581
2024,criminal proceedings,berlin,code11,,,,,4200
2025,criminal proceedings,berlin,code11,,,,,4530
2024,criminal proceedings,berlin,code11,construction industry,,,,216
2025,criminal proceedings,berlin,code11,construction industry,,,,208
2024,criminal proceedings,berlin,code11,restaurant and lodging industry,,,,493
2025,criminal proceedings,berlin,code11,restaurant and lodging industry,,,,487
2024,criminal proceedings,berlin,code11,hairdressing and beauty industry,,,,116
2025,criminal proceedings,berlin,code11,hairdressing and beauty industry,,,,161
2024,criminal proceedings,berlin,code11,"freight forwarding, transportation, and logistics industry",,,,108
2025,criminal proceedings,berlin,code11,"freight forwarding, transportation, and logistics industry",,,,164
2024,criminal proceedings,brandenburg,code12,,,,,2794
2025,criminal proceedings,brandenburg,code12,,,,,2902
2024,criminal proceedings,brandenburg,code12,construction industry,,,,267
2025,criminal proceedings,brandenburg,code12,construction industry,,,,288
2024,criminal proceedings,brandenburg,code12,restaurant and lodging industry,,,,292
2025,criminal proceedings,brandenburg,code12,restaurant and lodging industry,,,,294
