Year,Value,Series
2020,47.6,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks
2022,58.0,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks
2010,7.0,MSY examined fish stocks in all managed stocks
2011,0.0,MSY examined fish stocks in all managed stocks
2012,0.0,MSY examined fish stocks in all managed stocks
2013,0.0,MSY examined fish stocks in all managed stocks
2014,0.0,MSY examined fish stocks in all managed stocks
2015,7.0,MSY examined fish stocks in all managed stocks
2016,7.0,MSY examined fish stocks in all managed stocks
2017,7.0,MSY examined fish stocks in all managed stocks
2018,7.0,MSY examined fish stocks in all managed stocks
2019,7.0,MSY examined fish stocks in all managed stocks
2020,7.0,MSY examined fish stocks in all managed stocks
2022,0.0,MSY examined fish stocks in all managed stocks
