Year,Value,Units,Series
2010,52116.0,Million EUR,b) Environmental protection expenditure
2015,64748.0,Million EUR,b) Environmental protection expenditure
2016,67478.0,Million EUR,b) Environmental protection expenditure
2017,70053.0,Million EUR,b) Environmental protection expenditure
2018,74164.0,Million EUR,b) Environmental protection expenditure
2019,77773.0,Million EUR,b) Environmental protection expenditure
2021,80334.0,Million EUR,b) Environmental protection expenditure
