Year,Value,Series
2022,286978.155,Total output of the environmental goods and services sector (EGSS)
2010,10279.0,Gross fixed capital formation on environmental protection
2011,11415.0,Gross fixed capital formation on environmental protection
2012,11701.0,Gross fixed capital formation on environmental protection
2013,11331.0,Gross fixed capital formation on environmental protection
2015,12117.0,Gross fixed capital formation on environmental protection
2016,12824.0,Gross fixed capital formation on environmental protection
2017,13263.0,Gross fixed capital formation on environmental protection
2018,14747.0,Gross fixed capital formation on environmental protection
2019,15577.0,Gross fixed capital formation on environmental protection
2020,16070.0,Gross fixed capital formation on environmental protection
2021,14209.0,Gross fixed capital formation on environmental protection
