Year,Value,Units,Series
2010,1117240,Million passenger-kilometre,passenger transport
2011,1131004,Million passenger-kilometre,passenger transport
2012,1135558,Million passenger-kilometre,passenger transport
2013,1143475,Million passenger-kilometre,passenger transport
2014,1162942,Million passenger-kilometre,passenger transport
2015,1180646,Million passenger-kilometre,passenger transport
2016,1204775,Million passenger-kilometre,passenger transport
2017,1155136,Million passenger-kilometre,passenger transport
2018,1161885,Million passenger-kilometre,passenger transport
2019,1170186,Million passenger-kilometre,passenger transport
2020,945755,Million passenger-kilometre,passenger transport
2010,627882,Million tonne-kilometres,freight transport
2011,628083,Million tonne-kilometres,freight transport
2012,618179,Million tonne-kilometres,freight transport
2013,634973,Million tonne-kilometres,freight transport
2014,642604,Million tonne-kilometres,freight transport
2015,655708,Million tonne-kilometres,freight transport
2016,676893,Million tonne-kilometres,freight transport
2017,692578,Million tonne-kilometres,freight transport
2018,694963,Million tonne-kilometres,freight transport
2019,697942,Million tonne-kilometres,freight transport
2020,670460,Million tonne-kilometres,freight transport
